id,sfdc_id,FirstName,LastName,Salutation,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,Phone,Fax,MobilePhone,HomePhone,OtherPhone,Email,LeadSource,Birthdate,Personal_Email__c,Gender,ASU_Gmail__c,Arizona_Resident__c,Visa_Type__c,Undergraduate_GPA__c,Jr_Sr_GPA__c,Military_Status__c,Military_Branch__c,Email_Status__c,Marital_Status__c,Ethnicity,FERPA__c,Undergraduate_Major__c,Graduate_GPA__c,Contact_Preference__c,Student_Number__c,ASURite_ID__c,Deceased__c,ASU_Email__c
1,,Claudie,Murphy,Mrs.,"6201 Christiansen Glens",Robelmouth,Delaware,89465,"United States","491 Aufderhar Curve","South Gilberto",Pennsylvania,15257-6909,"United States","775-207-0319 x4452","(661) 227-9697 x0049","757-772-4911 x4659","(601) 252-5740","949.909.7955 x3607",claudie@example.com,"Employee Referral","1996-01-23 12:56:41.000000",claudie@example.com,Female,Claudie@asu.gmail,,,3.31124772667239,3.56513454733171,,,Temp,Married,Hispanic,,"Political Science",,"Home Phone",9472301997,1208815356,,Claudie.Murphy@asuFake.edu
2,,Amalia,Schaefer,Dr.,"35737 Mariela Skyway",Zemlakport,"New Mexico",64726,"United States","31347 Nikolaus Brook",Svenchester,Iowa,71674,"United States",925-614-6110,"240.774.2709 x3162","478-254-2181 x1781",845.774.7123,"(425) 847-5794",amalia@example.net,"College Fair - Int","1991-03-02 04:14:26.000000",amalia@example.net,Female,Amalia@asu.gmail,,,3.69206079537139,3.40283923315018,,,Role,Divorced,White,,Psychology,,"Local Phone",6387208473,1207039430,,Amalia.Schaefer@asuFake.edu
3,,Jeffry,Pfannerstill,Mrs.,"59253 Quitzon Curve","West Rebeca",Massachusetts,86819,"United States","8978 Chyna Bridge",Beahanberg,Maine,10810-5170,"United States","920-908-7757 x9918","(979) 201-5686 x0728","931.228.3846 x4516","440-940-4233 x7116","307.979.5848 x1354",jeffry@example.com,"Phone Call","1990-12-29 09:12:26.000000",jeffry@example.com,Female,Jeffry@asu.gmail,,,2.0457627527044,2.36379875042639,,,Role,Married,"Pacific Islander",,Psychology,3.52137031803072,"Local Phone",4978681878,1204267229,,Jeffry.Pfannerstill@asuFake.edu
4,,Maegan,Lueilwitz,Prof,"1690 Laurine Forge",Americaville,Mississippi,25209,"United States","131 Veda Underpass","West Luzside",Nevada,40054,"United States","425-331-4946 x7941","(434) 832-8796 x1213",631.339.6558,402.225.6176,"765-928-6690 x4189",maegan@example.net,"College Fair - US","1991-09-15 10:12:03.000000",maegan@example.net,Female,Maegan@asu.gmail,,,2.96088335769136,1.0683688628305,,,Valid,Unknown,Hispanic,,"Computer Science",3.78917387135587,Email,9720925010,1203967342,,Maegan.Lueilwitz@asuFake.edu
5,,Maci,Gutmann,Prof,"692 Yoshiko Locks",Kuhnville,Kansas,46394,"United States","828 Gussie Park",Burdetteshire,"New Mexico",49641-5062,"United States","585.970.8214 x3605",928.208.8075,207-650-1498,"(724) 224-0741 x3141","(612) 858-5336",maci@example.org,Advertisement,"1994-07-13 22:16:25.000000",maci@example.org,Unknown,Maci@asu.gmail,,,2.04874514611428,1.67873641104215,,,Valid,Married,"Pacific Islander",,"Mechanical Engineering",3.73648043722483,"Home Phone",8866359538,1208027744,,Maci.Gutmann@asuFake.edu
6,,Theresa,Graham,Mrs.,"107 Wiza Grove","New Dawn","New Jersey",54172,"United States","25337 Charles Garden",Carrollmouth,Oregon,74441-1603,"United States","858.231.6408 x6082",337.802.6473,"567-551-1353 x6653","317-813-2592 x8068","626-949-5544 x0229",theresa@example.net,"Partial App","1991-03-16 16:42:20.000000",theresa@example.net,Female,Theresa@asu.gmail,,,2.22202615056483,3.18057431699546,,,Temp,Married,White,,Mathematics,3.4729074335462,Email,9411251035,1207738066,,Theresa.Graham@asuFake.edu
7,,Enola,Mayer,Prof,"4487 Tremblay Springs","West Modestaland",Massachusetts,96863,"United States","49173 Roslyn Shoals",Bashirianside,Idaho,73156,"United States","754-336-8830 x5794","(773) 614-0518","(386) 219-7701 x8481","805.313.3558 x5901","(626) 283-9473 x4227",enola@example.org,"Employee Referral","1996-03-25 12:28:28.000000",enola@example.org,Unknown,Enola@asu.gmail,,,1.34688484309587,1.86908832796663,,,Valid,Divorced,Hispanic,,"Mechanical Engineering",3.07263247396481,"Local Phone",5848772229,1201321214,,Enola.Mayer@asuFake.edu
8,,Lexi,Hansen,Prof,"56526 Lizeth Neck",Rosemarybury,Maryland,83977-4599,"United States","96798 Garett Port","North Aileenport","New York",18802-6056,"United States","516.614.1488 x7855","(802) 770-5932 x9865","310-947-8796 x3769","281-915-5191 x5837","517.909.6120 x4176",lexi@example.com,Walk-in,"1995-09-16 14:01:30.000000",lexi@example.com,Unknown,Lexi@asu.gmail,,,3.34324757122065,1.42463921481896,,,Valid,Single,White,,"Mechanical Engineering",,"Home Phone",9065462540,1209360059,,Lexi.Hansen@asuFake.edu
9,,Maximillia,Gislason,Mrs.,"411 Goodwin Valleys",Camilaport,"New Mexico",19778-6756,"United States","175 Kuphal Oval","New Odamouth","New York",45243-1567,"United States","972.562.8042 x4600","731.331.3011 x4558","660-567-4314 x6847",772.210.8084,"269-321-5480 x4186",maximillia@example.net,"Purchased List","1994-03-12 17:42:10.000000",maximillia@example.net,Female,Maximillia@asu.gmail,,,2.42979941265468,3.12150125052817,,,Valid,Married,"Black African-American",,"Mechanical Engineering",3.83233618196935,"Home Phone",0471637626,1201039929,,Maximillia.Gislason@asuFake.edu
10,,Abdul,Schamberger,Mr.,"1316 Hayes Shoals",Lamontburgh,Maryland,42373,"United States","919 Myriam Meadows","North Theron",Maryland,53689,"United States","269-405-5085 x1729",904-231-9576,"878-464-7900 x3776","720-302-7489 x8888",949-830-4260,abdul@example.com,"Test Scores","1993-07-05 15:32:49.000000",abdul@example.com,Male,Abdul@asu.gmail,,,3.23505025631507,2.56803768623494,,,Valid,Single,Hispanic,,"Computer Science",3.89696516287721,"Mobile Phone",8097535114,1205706020,,Abdul.Schamberger@asuFake.edu
11,,Lenny,Hammes,Mr.,"247 Herzog Course",Prosaccomouth,Kansas,54341-2527,"United States","954 Streich Throughway","New Bartholome",Kansas,78769-9451,"United States",623-732-6411,"212-216-6585 x8181","845.605.4898 x9141","925-814-3609 x2167",616.605.5831,lenny@example.com,PeopleSoft,"1996-03-18 21:55:36.000000",lenny@example.com,Male,Lenny@asu.gmail,,,1.0013283196287,2.27440835024802,,,Valid,Single,"Am. Indian Alaska Native",,"Mechanical Engineering",,"Mobile Phone",1031747397,1200683252,,Lenny.Hammes@asuFake.edu
12,,Vada,Lang,Ms.,"60408 Lenna Fords","Port Aricmouth","New Jersey",54926-7243,"United States","412 Camren Avenue",Nienowview,Kansas,13068,"United States","878-562-7289 x5003",903.636.4531,"(774) 878-5390","(316) 901-4897 x5733",214.218.4448,vada@example.net,"College Fair - US","1994-01-11 09:56:52.000000",vada@example.net,Female,Vada@asu.gmail,,,1.68046994098499,2.5206697189037,,,Temp,Single,Hispanic,,Mathematics,3.17750379464145,Email,1350568496,1201301711,,Vada.Lang@asuFake.edu
13,,Kraig,Bechtelar,Prof,"60760 Crona Stream","West Brent",Mississippi,44134-3287,"United States","40430 Cruickshank Plaza","North Joannyshire",Delaware,26987,"United States",810.772.7019,"(215) 557-5155",858-806-3937,"317.919.3805 x9229","(480) 484-1082",kraig@example.org,"Employee Referral","1990-03-09 03:11:43.000000",kraig@example.org,Female,Kraig@asu.gmail,,,1.5605462658373,1.81992685922436,,,Valid,Married,Hispanic,,"Computer Science",,"Home Phone",1410683264,1201081851,,Kraig.Bechtelar@asuFake.edu
14,,Jerod,Pacocha,Mrs.,"74897 Gracie Mission","North Ellen",Connecticut,31941,"United States","970 Else Cliff","Lake Hildaville",Oregon,37341-5946,"United States","(607) 630-9758 x2588","814.509.9126 x0857",708-303-2289,928.415.3122,"410.806.7495 x7057",jerod@example.org,"Test Scores","1989-08-27 19:53:00.000000",jerod@example.org,Female,Jerod@asu.gmail,,,3.43612746202716,3.82607862412582,,,Temp,Married,White,,Business,3.73467558426652,"Local Phone",4307002545,1206713718,,Jerod.Pacocha@asuFake.edu
15,,Frederique,Swaniawski,Mr.,"60067 Kayli Field","West Monserrat",Kentucky,64422-5418,"United States","981 Bergstrom Circles",McKenziehaven,Virginia,36111,"United States","607-606-0524 x6680",772.417.4316,608-616-0435,"980.404.6547 x2925",682-505-7173,frederique@example.com,"Web Form","1990-11-05 17:55:50.000000",frederique@example.com,Male,Frederique@asu.gmail,,,2.42744171563544,3.27388621664145,,,Temp,Unknown,White,,"Political Science",3.67292894556681,Email,9789975204,1205400828,,Frederique.Swaniawski@asuFake.edu
16,,Hans,Satterfield,Prof,"83032 Nienow Track",Jalenview,"New York",29763-4451,"United States","63337 Leonel Falls","Lake Constantinview","New York",24038-0646,"United States","701.480.6218 x3878","915-206-6603 x1629","(254) 803-5764 x6759","(475) 619-7946 x2852","407-573-0936 x5218",hans@example.net,Advertisement,"1994-03-25 22:48:13.000000",hans@example.net,Female,Hans@asu.gmail,,,3.3604150276218,2.25869136453661,,,Valid,Married,"Am. Indian Alaska Native",,"Computer Science",,"Mobile Phone",2121224719,1202268930,,Hans.Satterfield@asuFake.edu
17,,Kyra,Stracke,Dr.,"97252 Koepp Corner",Tremayneshire,Ohio,62028,"United States","355 Padberg Oval","New Thadside",Tennessee,10492-8997,"United States","(858) 915-5748 x3312",717-814-1019,"620-480-0211 x6242","812.630.8522 x8372","445.405.5912 x5530",kyra@example.com,"Web Form","1994-07-04 19:01:34.000000",kyra@example.com,Unknown,Kyra@asu.gmail,,,3.20872721017035,3.24573148063841,,,Role,Divorced,"Pacific Islander",,Economics,3.62871167053065,"Mobile Phone",0778826179,1208535140,,Kyra.Stracke@asuFake.edu
18,,Katlynn,Johns,Ms.,"6510 Dare Mill","South Tatum",Wisconsin,87989,"United States","5474 Wilford Wells","West Angelita","South Dakota",73255,"United States","(559) 240-1296","409.513.0450 x3137","937-563-9236 x7400","215-270-9774 x8536","651.870.5145 x3505",katlynn@example.net,"Partial App","1993-04-01 02:27:52.000000",katlynn@example.net,Female,Katlynn@asu.gmail,,,2.0070331201667,3.66863168763662,,,Role,Single,Hispanic,,Biology,3.43057204223288,Email,4575626568,1207875676,,Katlynn.Johns@asuFake.edu
19,,Dena,Legros,Dr.,"2021 Hammes Street","New Daniellamouth",Louisiana,35580,"United States","7022 Hammes Ville",Hyattside,Vermont,85292,"United States","313-720-7002 x3422","(262) 301-8740","334.480.9582 x7655",281.478.0280,608-719-4634,dena@example.net,"Employee Referral","1991-04-04 00:04:50.000000",dena@example.net,Unknown,Dena@asu.gmail,,,2.20917511960117,1.43183050242247,,,Temp,Unknown,Asian,,"Political Science",3.92554290293242,Email,6167518927,1204625097,,Dena.Legros@asuFake.edu
20,,Kristin,Kshlerin,Ms.,"27864 Abby Terrace","North Trace",Iowa,27296,"United States","42800 Kamryn Land",Havenville,Arkansas,46847-1442,"United States","(574) 959-9282 x3138",901-714-0259,509-979-3466,"(502) 361-8330","(947) 351-5098 x5358",kristin@example.net,"ASU UG","1994-03-27 16:41:03.000000",kristin@example.net,Female,Kristin@asu.gmail,,,3.24864891103955,1.20161199398145,"Armed Forces Reserve",Marines,Temp,Single,White,,Business,,"Mobile Phone",2704749539,1209386137,,Kristin.Kshlerin@asuFake.edu
21,,Raphael,MacGyver,Ms.,"977 Lakin Curve",Raynorchester,Pennsylvania,90282,"United States","61013 Hermann Port","Port Jacquelynhaven",Colorado,12612,"United States",424.731.4020,872.417.6128,"317.208.7795 x9180",636-713-2882,"603-862-9565 x5713",raphael@example.com,Email,"1991-12-25 11:07:40.000000",raphael@example.com,Female,Raphael@asu.gmail,,,3.73346334186417,2.02698686939211,,,Temp,Single,Hispanic,,Psychology,3.79068815333583,"Local Phone",5636059924,1205415029,,Raphael.MacGyver@asuFake.edu
22,,Giovanni,Grant,Mr.,"761 Makenna Junctions",McKenziefurt,Pennsylvania,40095,"United States","566 Abernathy Lakes",Jaskolskichester,"West Virginia",98041,"United States","218-308-4244 x6338","816-936-0972 x7894","872-469-0777 x1491",516-928-0773,318.313.8468,giovanni@example.com,Event,"1992-01-04 18:59:04.000000",giovanni@example.com,Male,Giovanni@asu.gmail,,,3.7577757012044,1.12725616942131,,,Temp,Divorced,Hispanic,,Psychology,3.56050652608868,"Mobile Phone",1667059427,1205463981,,Giovanni.Grant@asuFake.edu
23,,Adriel,Armstrong,Ms.,"85470 Juana Isle","South Mireilleland",Hawaii,49809,"United States","1110 Roy Viaduct",Rueckerfort,Massachusetts,32485-4380,"United States","(609) 612-9797",541-909-1815,615.734.4246,"(212) 804-3849 x8511",952-205-8901,adriel@example.net,Walk-in,"1992-08-21 20:31:47.000000",adriel@example.net,Female,Adriel@asu.gmail,,,1.90288576134351,3.29331974882168,,,Role,Single,"Black African-American",,Mathematics,3.30854464256076,"Home Phone",6492332060,1205624253,,Adriel.Armstrong@asuFake.edu
24,,Keira,Koepp,Prof,"799 Huels Mountains",Kaleytown,Georgia,74568-5092,"United States","667 Enid Vista",Cummingsberg,Washington,48069-2768,"United States","(978) 407-6625 x9488",518.573.6088,"(248) 602-6963",754-305-3348,574-404-1292,keira@example.net,"Phone Call","1994-02-24 15:50:25.000000",keira@example.net,Unknown,Keira@asu.gmail,,,1.93386030575717,2.25660985340781,,,Temp,Divorced,"Black African-American",,Economics,3.22750523142628,"Local Phone",9776097420,1205218190,,Keira.Koepp@asuFake.edu
25,,Abraham,Beier,Mr.,"452 Hilpert Mall",Cathyport,Montana,87682,"United States","174 Maggio River","East Emmieburgh","South Dakota",40881-4262,"United States","678-510-7285 x3929","(502) 914-6930 x3642","(878) 517-9375 x4509","(224) 785-0976 x2547","(862) 203-0020",abraham@example.org,"Phone Call","1996-03-07 15:24:25.000000",abraham@example.org,Male,Abraham@asu.gmail,,,1.10381839606456,1.47430070600752,,,Temp,Divorced,Asian,,Psychology,3.95131115969065,"Local Phone",9284674195,1204483963,,Abraham.Beier@asuFake.edu
26,,Jeramie,Ward,Ms.,"7434 Kunde Extensions","North Clarebury",Massachusetts,17523,"United States","11805 Cruickshank Corners",Pacochachester,California,27042,"United States","281-915-7426 x4455","423-601-1431 x5579",615-470-2808,"862-504-3077 x6238",732-409-3963,jeramie@example.org,PeopleSoft,"1995-05-20 12:10:40.000000",jeramie@example.org,Female,Jeramie@asu.gmail,,,1.31782797550362,1.81065206077705,,,Role,Single,Hispanic,,"Political Science",,"Mobile Phone",3190033644,1207593367,,Jeramie.Ward@asuFake.edu
27,,Jonathan,Pollich,Prof,"514 Senger Trace","North Barry",Indiana,33078,"United States","67879 Pattie Pass","North Dewaynestad",Kansas,80505-6660,"United States","831.541.9193 x6903",763-551-9605,"218-916-8509 x4509",757.970.4878,"225-281-0082 x2987",jonathan@example.com,"College Fair - US","1993-09-07 22:50:10.000000",jonathan@example.com,Female,Jonathan@asu.gmail,,,1.24266908768083,3.32524469051382,,,Role,Unknown,"Black African-American",,Business,3.80038547742546,Email,2656015577,1202510910,,Jonathan.Pollich@asuFake.edu
28,,"D'angelo",Gottlieb,Mr.,"347 Alford Square",Reillybury,Hawaii,16948-4652,"United States","43503 Ella Coves","New Lisandro",Florida,76483-9848,"United States","(651) 918-0686 x9087",574.323.1444,832-712-2921,913-269-6852,"(616) 270-9252 x4834",angelo.d@example.com,"Test Scores","1992-08-06 15:57:13.000000",angelo.d@example.com,Male,"D'angelo@asu.gmail",,,3.06180719504288,1.37895159447008,,,Temp,Divorced,"Am. Indian Alaska Native",,Economics,,"Local Phone",7247371918,1205441303,,"D'angelo.Gottlieb@asuFake.edu"
29,,Sienna,Johns,Dr.,"6164 Morar Square",Maggioville,Georgia,79459-5711,"United States","38475 McGlynn Roads",Thielberg,Hawaii,43513,"United States","757.765.9385 x5111","912-612-3648 x8514","918-858-3160 x8938",949-339-5109,"202-702-7882 x4962",sienna@example.org,Event,"1993-09-11 00:06:56.000000",sienna@example.org,Female,Sienna@asu.gmail,,,1.03587669997133,3.69085284436318,,,Role,Married,Hispanic,,Biology,3.72169135054846,"Home Phone",6222315121,1202917837,,Sienna.Johns@asuFake.edu
30,,Amanda,Goodwin,Dr.,"8168 Nichole Drives","East Christophemouth",Connecticut,22457,"United States","587 Mercedes River","North Tressieview",Oklahoma,59384-7053,"United States","(803) 216-7212",858.518.2714,"404.513.7260 x5306",925.410.5849,443.845.7503,amanda@example.com,Email,"1995-11-14 19:40:26.000000",amanda@example.com,Male,Amanda@asu.gmail,,,1.53571015290964,2.76716466706828,,,Role,Divorced,"Am. Indian Alaska Native",,"Political Science",3.2077632707067,"Home Phone",2561999688,1207879689,,Amanda.Goodwin@asuFake.edu
31,,Frank,Treutel,Mr.,"7431 Efren Parkway",Alexiston,California,70550-9865,"United States","87024 Eichmann Pine",Batzhaven,Iowa,61279,"United States","984-248-2127 x7074",215-412-2049,"940-984-4074 x4259","224-234-4423 x7752","(802) 949-1867 x3997",frank@example.org,PeopleSoft,"1991-02-14 15:14:39.000000",frank@example.org,Male,Frank@asu.gmail,,,1.67830810063479,2.28480937438611,,,Temp,Married,"Pacific Islander",,"Computer Science",3.50527234647264,Email,9120655108,1206854027,,Frank.Treutel@asuFake.edu
32,,Lisandro,Schimmel,Dr.,"3949 Josue Expressway","West Fletcher",Minnesota,99730,"United States","1069 Oran Land",Krishaven,"South Dakota",64181-1761,"United States","(719) 218-1926 x7212",615-202-1259,"470-248-1098 x0542",623-715-5918,"(956) 464-1202 x9335",lisandro@example.com,"College Fair - Int","1996-02-18 03:34:30.000000",lisandro@example.com,Female,Lisandro@asu.gmail,,,3.98769682792357,2.36244068781883,,,Role,Single,Hispanic,,"Computer Science",3.72452234543266,"Home Phone",2718255286,1200869775,,Lisandro.Schimmel@asuFake.edu
33,,Lewis,Nitzsche,Mrs.,"19317 Robel Course","East Jovani","South Dakota",68661-2769,"United States","38072 Barrows Ridge","South Gene",Iowa,75678,"United States","912.813.5986 x4685","(434) 815-3060 x7315","919-337-9606 x4796",505-856-7764,"(909) 805-9941 x5675",lewis@example.net,Email,"1989-05-27 22:59:31.000000",lewis@example.net,Female,Lewis@asu.gmail,,,1.54901806067532,2.61283714758952,,,Valid,Married,Asian,,Biology,3.94026144364699,Email,4269719487,1207660546,,Lewis.Nitzsche@asuFake.edu
34,,Sienna,Bednar,Mr.,"44009 Caleb Valley",Buckridgeport,Florida,71100-4190,"United States","555 Borer Prairie","North Ashafurt",Wisconsin,66506,"United States","351-781-0429 x8374","(954) 631-7543 x9528","917.209.2386 x9142","270-636-9794 x3641","316-563-7659 x3833",sienna@example.com,PeopleSoft,"1991-09-19 19:37:55.000000",sienna@example.com,Male,Sienna@asu.gmail,,,1.1633711145883,1.96194678654188,,,Temp,Married,"Am. Indian Alaska Native",,Biology,3.54290869971176,"Local Phone",7338085161,1201487992,,Sienna.Bednar@asuFake.edu
35,,Name,Bashirian,Dr.,"872 Dibbert Mountains","Lake Quentin",Wisconsin,51179-8509,"United States","6121 Damien Heights",Framiburgh,Tennessee,92186,"United States","631.410.1862 x8838","(757) 475-6950 x2706","(530) 559-1481","(732) 814-3020 x7138","225.563.4119 x4885",name@example.net,Walk-in,"1994-08-28 06:10:29.000000",name@example.net,Male,Name@asu.gmail,,,2.52840461138034,1.7084806451352,,,Temp,Married,White,,Business,3.47071290482245,"Home Phone",6878852041,1209304850,,Name.Bashirian@asuFake.edu
36,,Armando,Hegmann,Prof,"4279 Jo Divide","Port Joey",Arizona,48693-4903,"United States","42617 Macejkovic Meadows",Handland,Arizona,14871-7181,"United States","603-858-3530 x5439","(404) 228-2520 x7518","(209) 423-8850 x1650","412-801-2003 x2727","786-601-4730 x7781",armando@example.org,Advertisement,"1994-04-13 00:53:33.000000",armando@example.org,Female,Armando@asu.gmail,,,3.02023609779547,2.97158681857568,,,Temp,Unknown,"Black African-American",,"Mechanical Engineering",,"Mobile Phone",3409145432,1201817655,,Armando.Hegmann@asuFake.edu
37,,Kaelyn,Davis,Ms.,"68316 Jacobs Springs",Gunnarhaven,Florida,18464-3035,"United States","9701 Faustino Passage",Maxieburgh,Florida,15529,"United States","858-406-0419 x7426","508.505.6268 x4687","919-858-6322 x8024","(808) 260-6669 x7338","239-517-1870 x7020",kaelyn@example.net,"Test Scores","1990-05-20 07:02:03.000000",kaelyn@example.net,Female,Kaelyn@asu.gmail,,,1.07999649019943,3.27786852816429,,,Temp,Single,White,,Psychology,,"Home Phone",7049553803,1207348129,,Kaelyn.Davis@asuFake.edu
38,,Felicity,Davis,Mrs.,"81746 Conn Road",Zulauftown,Oklahoma,10563-8079,"United States","95960 Hilpert Knoll","South Thaddeusstad",Illinois,36456,"United States","347-305-2456 x9048",732.636.9109,"860-865-5902 x1582",660-515-3904,"626.636.5560 x1379",felicity@example.org,"ASU UG","1990-10-24 20:26:24.000000",felicity@example.org,Female,Felicity@asu.gmail,,,1.82589852201783,1.40006939421715,,,Role,Married,Hispanic,,Mathematics,3.70846902053091,"Mobile Phone",2872466655,1200686916,,Felicity.Davis@asuFake.edu
