id,sfdc_id,FirstName,LastName,Salutation,RoverStatus,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,Phone,Fax,MobilePhone,HomePhone,OtherPhone,Email,LeadSource,Birthdate,HasOptedOutOfEmail,HasOptedOutOfFax,DoNotCall,Personal_Email__c,Gender,ASU_Gmail__c,Arizona_Resident__c,Visa_Type__c,Undergraduate_GPA__c,Jr_Sr_GPA__c,Military_Status__c,Military_Branch__c,Email_Status__c,Marital_Status__c,Ethnicity,FERPA__c,Undergraduate_Major__c,Graduate_GPA__c,Contact_Preference__c,Student_Number__c,ASURite_ID__c,Deceased__c,ASU_Email__c,Test_Record__c
1,,Viva,Lowe,Dr.,No,"6070 Leilani Lodge","North Carolyn",Pennsylvania,35776-0922,"United States","942 Reid Crossing",Aidanbury,Massachusetts,60453,"United States","248-231-7904 x9713","(425) 320-9230",424-267-8552,"(517) 786-5014 x8697","(731) 214-0531 x1744",viva@example.com,"Test Scores","1996-04-12 23:18:45.000000",false,false,true,viva@example.com,Male,Viva@asu.gmail,false,,1.39384323497363,2.13146115207169,,,Role,Married,Hispanic,false,"Computer Science",3.63723179420337,"Mobile Phone",2303157686,1204710538,false,Viva.Lowe@asuFake.edu,
2,,Price,Nader,Mr.,No,"71686 Grant Crest","New Brennaview",Wisconsin,71407,"United States","4991 McDermott Fork",Claudeshire,Nebraska,46128-4203,"United States","330-202-1353 x3612","(509) 409-9899","(623) 835-3430","231-512-1569 x6807","(419) 302-2787 x5470",price@example.net,Advertisement,"1989-09-02 22:19:46.000000",true,false,true,price@example.net,Male,Price@asu.gmail,false,,3.90062555961335,2.51495916238188,,,Valid,Single,Hispanic,false,Economics,,"Home Phone",7049638857,1207734536,false,Price.Nader@asuFake.edu,
3,,Rosemarie,Tremblay,Dr.,No,"33279 Orn Throughway","West Nyasia",Ohio,49037,"United States","341 Lisandro Freeway",Summertown,Nebraska,71250-6161,"United States","781.660.5997 x5060",417.276.9735,"630.512.2571 x5052",216-904-6981,"(415) 470-1442",rosemarie@example.com,"Web Form","1993-10-07 23:44:42.000000",true,true,true,rosemarie@example.com,Unknown,Rosemarie@asu.gmail,false,,3.20996550374729,2.96752356823178,,,Role,Unknown,"Black African-American",true,Economics,3.50449442069098,"Local Phone",0467278611,1208046118,false,Rosemarie.Tremblay@asuFake.edu,
4,,Nikolas,Jacobs,Ms.,No,"18574 Julie Burgs",Furmanfort,Vermont,16943-0136,"United States","77410 Hermiston Oval",Meganeshire,Alaska,38210-5206,"United States","(520) 510-2169","(830) 518-0815 x4365","(301) 424-4923 x1547","704-667-1825 x4528",805-786-7059,nikolas@example.com,"Phone Call","1992-03-31 05:35:57.000000",true,false,false,nikolas@example.com,Female,Nikolas@asu.gmail,false,,3.89282203439792,1.85564009137579,,,Valid,Single,"Black African-American",false,"Computer Science",3.65195118270023,"Home Phone",5814270385,1203948890,false,Nikolas.Jacobs@asuFake.edu,
5,,Golda,Wiegand,Ms.,No,"456 Baumbach Lakes","North Merle",Nebraska,53377-3875,"United States","82532 Beahan Forge",Stiedemannview,Colorado,87078,"United States","(361) 515-6526 x0098",808-564-4113,"662.352.6584 x5529","336.973.0376 x3536",907-712-4169,golda@example.org,"Phone Call","1992-08-04 23:30:41.000000",false,false,false,golda@example.org,Female,Golda@asu.gmail,true,,1.32930603935615,1.76455162994874,,,Role,Single,"Pacific Islander",false,Biology,3.92597105003161,"Local Phone",9180259296,1208447270,false,Golda.Wiegand@asuFake.edu,
6,,Mona,Stokes,Prof,No,"29230 Imogene Stream","Port Genovevaton",Louisiana,49787-6755,"United States","68220 Efrain Parkways",Heidiborough,Missouri,61187-3916,"United States","816.331.9042 x4575","(510) 606-2797",830-848-7303,303-719-5279,"(508) 213-9862 x0786",mona@example.net,"Partial App","1991-05-13 13:29:52.000000",true,false,true,mona@example.net,Unknown,Mona@asu.gmail,true,,2.45836281901067,2.30180509354121,,,Temp,Unknown,Asian,false,Economics,,Email,5567337670,1203266228,false,Mona.Stokes@asuFake.edu,
7,,Camron,Moen,Ms.,No,"83863 Shayna Trace",Blandaport,California,99686-2420,"United States","462 Nichole Center","South Dannyburgh","New Mexico",77469-6860,"United States","(214) 828-3722","956-262-8818 x6030","715.320.8532 x2231","559.434.6297 x1704","501.631.6321 x3936",camron@example.org,"Purchased List","1990-06-05 15:08:06.000000",true,true,false,camron@example.org,Female,Camron@asu.gmail,false,,2.5858047019982,2.30640929510573,,,Temp,Single,White,false,Mathematics,,"Local Phone",7757701440,1204975092,false,Camron.Moen@asuFake.edu,
8,,Joy,Kuvalis,Mr.,No,"2219 Era Place","West Leilanihaven",Nevada,95453-3363,"United States","6704 Corkery Station","Lake Sincereburgh","New Mexico",11093,"United States","(302) 210-5812 x5733",301-419-7248,"(781) 947-7284",959-828-3400,445.253.1555,joy@example.org,"College Fair - Int","1994-02-10 00:57:50.000000",false,true,false,joy@example.org,Male,Joy@asu.gmail,true,,2.25755804133058,1.91682008650768,,,Temp,Divorced,Asian,false,Biology,,"Home Phone",5430843444,1209537487,false,Joy.Kuvalis@asuFake.edu,
9,,Lonzo,Treutel,Dr.,No,"6264 Williamson Mountain","South Tierra",Maine,80509-4381,"United States","278 Keith Corners","Port Emilioshire",Minnesota,38053,"United States","512-206-2792 x8188",509.862.7694,"302-585-0688 x0085","786-973-1327 x7246","203-210-6169 x2585",lonzo@example.com,"College Fair - Int","1991-02-11 04:32:10.000000",false,true,true,lonzo@example.com,Unknown,Lonzo@asu.gmail,false,,1.12763568749077,2.61686640708921,Veteran,Marines,Temp,Single,Hispanic,true,Economics,3.30482733588306,Email,7613495674,1208398603,false,Lonzo.Treutel@asuFake.edu,
10,,Anabelle,Schaden,Mrs.,No,"5466 Janelle Square","Lake Myrna",Connecticut,96934,"United States","29589 Zboncak Mews","North Easter",Connecticut,48682,"United States",351.502.1422,"(720) 302-1662","310-424-3187 x3814",608-307-9655,"479-401-7924 x9384",anabelle@example.org,"Phone Call","1993-03-30 05:33:40.000000",true,true,false,anabelle@example.org,Female,Anabelle@asu.gmail,false,,1.24673972997899,3.94312555913752,,,Role,Married,Hispanic,true,"Mechanical Engineering",3.69026616095984,Email,4508600969,1207570316,false,Anabelle.Schaden@asuFake.edu,
