id,sfdc_id,LastName,FirstName,Salutation,Title,Company,Street,City,State,PostalCode,Country,Phone,MobilePhone,Fax,Email,Website,Description,LeadSource,Status,Rating,HasOptedOutOfEmail,IsConverted,IsUnreadByOwner,DoNotCall,HasOptedOutOfFax,Gender,Date_of_Birth__c,Recruiting_Email__c,Degree_Type__c,Academic_Plan_list__c,Research_Experience__c,Contact_Preference__c,ASU_Student__c,Course_Load__c,Secondary_Email__c,Undergraduate_GPA__c,Ethnicity__c,CRMfusionDBR101__ProductInterest__c,Jr_Sr_GPA__c,Veteran_Status__c,Enrollment_Term__c,Test_Record__c,College__c,Online__c,Lead_Source_Subtype__c,Email_Status__c
1,,Reynolds,Junior,Dr.,,"Gottlieb, Jacobi and Schinner","253 Miguel Extension","North Isaias","New York",29421-4472,"United States","217-636-8373 x0366","213-503-7887 x1833",573-620-3641,reynolds@example.org,,,"Partial App",Open,Cold,true,false,true,false,false,Unknown,"1993-08-10 13:53:56.000000",reynolds@example.org,Masters,,Unknown,"Home Phone",false,Undecided,junior@example.net,,Hispanic,"GC1000 series",,Reserves,"2015 Spring",false,GRLA,,NAU,Temp
2,,Luettgen,Elyse,Prof,,Hettinger-Bins,"4670 Maureen Way","Lake Madge",Arizona,42204,"United States","901-646-9974 x9620","975-203-3664 x9168",351.614.7487,luettgen@example.net,,,"Employee Referral",Inactive,Warm,false,false,false,true,false,Male,"1992-07-16 22:21:45.000000",luettgen@example.net,Doctoral,,Yes,Email,true,Part-time,elyse@example.org,2.17310267771061,"Pacific Islander","GC1000 series",3.24165138161835,"I am active duty","2017 Fall",false,GRES,,Idealist,Role
3,,Kohler,Russel,Ms.,,"Spencer and Sons","732 Kiera Square",Breanaburgh,Alabama,85901-3361,"United States","213-914-6349 x4151","801-464-6391 x1018",919.979.6461,kohler@example.com,,,"Partial App",Open,Cold,true,false,false,true,false,Female,"1993-02-26 08:23:50.000000",kohler@example.com,Non-Degree,,No,"Local Phone",false,Part-time,russel@example.org,3.4347287876301,"Am. Indian Alaska Native","GC5000 series",1.85794141128164,"National Guard","2015 Fall",true,GRLA,,"GRE Subject",Valid
4,,"O'Conner",Loyce,Mr.,,Welch-Adams,"7031 Ethyl Well","Lake Tomas","South Carolina",13699-8790,"United States","574-440-2169 x8459","812.302.6579 x6759","816-484-4860 x4348",o.conner@example.org,,,"Phone Call",Prospect,Warm,false,false,false,false,true,Male,"1994-12-28 20:50:12.000000",o.conner@example.org,Doctoral,,Yes,"Local Phone",false,Part-time,loyce@example.com,,"Black African-American","GC5000 series",,Reserves,"2016 Fall",false,GRTE,,"EGSS Applying",Valid
5,,Mertz,Camylle,Mrs.,,"Haley LLC","9052 Westley Falls",Emmanuelleton,Virginia,67638-3682,"United States","906-940-2248 x1889",630.760.3361,"(240) 804-0709",mertz@example.net,,,"Phone Call",Open,Cold,true,false,true,false,false,Female,"1995-03-21 08:08:32.000000",mertz@example.net,Certificate,,No,"Mobile Phone",true,Part-time,camylle@example.com,1.96479385730532,White,"GC3000 series",2.54704855575643,"I am active duty","2014 Fall",false,GRPP,,"Graduate College",Temp
6,,Vandervort,Erwin,Ms.,,"Casper, Zieme and Kuhlman","9165 Rocio Key",Willmouth,Tennessee,79169-9120,"United States","(816) 210-3119 x8654","239-781-2068 x6527","(330) 757-8089",vandervort@example.com,,,"Partial App",Open,Cold,true,false,true,false,false,Female,"1991-06-03 21:18:32.000000",vandervort@example.com,Certificate,,Unknown,"Local Phone",false,"No response",erwin@example.net,2.1752119959037,"Am. Indian Alaska Native","GC3000 series",1.32188625745175,"I am active duty","2016 Fall",true,GRSU,,"Coll Technology & Innovation",Role
7,,Hackett,Ken,Prof,,Gerlach-Padberg,"3395 Abbott Squares",Thielberg,"South Dakota",26187-2261,"United States","(602) 509-0465 x2696","(530) 609-2200 x2339",402-309-0448,hackett@example.org,,,PeopleSoft,Inactive,Hot,true,false,true,true,false,Female,"1995-10-08 23:41:09.000000",hackett@example.org,Certificate,,No,"Home Phone",true,Part-time,ken@example.net,3.55159534857679,Asian,"GC5000 series",3.37366322305123,"I am a veteran","2014 Fall",true,LWLW,,Import,Role
8,,Gerhold,Cordelia,Ms.,,"Koch, Greenfelder and Pacocha","5084 Torrey Isle","Lake Mikaylahaven","South Carolina",61691,"United States",331.773.0296,"209-469-0683 x5257",940-445-6350,gerhold@example.org,,,"Purchased List",Inactive,Warm,false,false,false,false,true,Female,"1989-07-20 21:27:00.000000",gerhold@example.org,Certificate,,Unknown,"Local Phone",false,Full-time,cordelia@example.com,1.83275385604278,Asian,"GC1000 series",2.33743659652603,"National Guard","2015 Fall",true,GRSU,,"EGSS Applying",Valid
9,,Parker,Tyshawn,Ms.,,Hammes-Altenwerth,"1670 Elfrieda Street",Rudyburgh,Wyoming,26940,"United States","617.510.9422 x5984",816.952.9998,"(975) 971-1522 x4474",parker@example.org,,,Event,Prospect,Hot,true,false,true,false,false,Female,"1994-09-06 05:34:38.000000",parker@example.org,Masters,,Yes,"Home Phone",false,Full-time,tyshawn@example.org,1.80496522798079,White,"GC5000 series",1.81535488453578,"I am a spouse or dependent of an active duty or veteran","2017 Spring",false,GRGC,,GRE,Role
10,,Block,Arlo,Ms.,,"Muller and Sons","4479 Stark Roads",Gradymouth,Florida,22694,"United States",517.718.4755,"(828) 606-1236 x8414","732-619-9080 x7432",block@example.net,,,"Test Scores",Prospect,Hot,false,false,true,false,true,Female,"1990-01-28 12:31:13.000000",block@example.net,Masters,,No,"Mobile Phone",false,Undecided,arlo@example.org,1.02451718496377,Hispanic,"GC5000 series",2.59253894407303,"National Guard","2016 Fall",false,LWLW,,"New Interdis Arts & Sciences",Valid
11,,Spinka,Dena,Dr.,,"Dach, Jones and Walker","384 Jodie Crest",Cheyannestad,Connecticut,62052-6782,"United States","(480) 806-6562 x8586","970.318.5825 x5283","(706) 714-4893 x4084",spinka@example.org,,,Advertisement,Prospect,Warm,true,false,false,false,true,Female,"1991-10-03 14:18:39.000000",spinka@example.org,Masters,,No,"Local Phone",false,Undecided,dena@example.com,1.62144197427815,"Pacific Islander","GC1000 series",3.98899578784683,"National Guard","2015 Spring",true,GRGC,,"EGSS Financing",Valid
12,,Brakus,Ashleigh,Prof,,"Blick LLC","216 Dach Village",Jenniehaven,Utah,56890-0091,"United States",606.856.9716,607.557.9336,"502-248-9145 x6880",brakus@example.com,,,"Purchased List",Open,Cold,false,false,false,true,true,Female,"1990-02-21 21:38:05.000000",brakus@example.com,Certificate,,No,Email,true,Undecided,ashleigh@example.com,3.87613092415316,White,"GC3000 series",1.56835813848085,Reserves,"2016 Spring",false,LWLW,,"W.P. Carey School Of Business",Temp
